Hour,Dmax_32,Dmax_34,Dmax_36,Dmax_38,Dmax_40
1,22,22,22,22,22
2,22,22,22,22,22
3,22,22,22,22,22
4,22,22,22,22,22
5,22,22,22,22,22
6,22,22,22,22,22
7,22,22,22,22,22
8,22,22,22,22,22
9,28,28,28,28,28
10,29.5,30,31,31.5,32
11,31,32.5,34,35,36
12,32,34,36,38,40
13,31,32.5,34,35.5,37
14,30,31,32,33,34
15,29,29.5,30,30.5,31
16,28,28,28,28,28
17,22,22,22,22,22
18,22,22,22,22,22
19,22,22,22,22,22
20,22,22,22,22,22
21,22,22,22,22,22
22,22,22,22,22,22
23,22,22,22,22,22
24,22,22,22,22,22
