"","Treatment","ID","H_C","CycleDays","ContinueNormalDay","ContinueHotday","LifeNormalDay","LifeHotday","NymphNormalDay","NymphHotDay","AdultNormalDay","AdultHotDay","RatioNormaltoHot","MeanT","DailyMin","DailyMax","TD320","TD330","Lower20C","Higher20C","X1st_instar","X2ed_instar","X3rd_instar","X4th_instar","NymphDur","Longevity","Fecundity","BirthDur","UID","Trt","Status"
"49",413,2,"C",4,1,3,4,11,2,5,2,6,0.333,25.4,21.5,29.3,77,38.5,123.2,203.5,1,2,1.5,2.5,7,8,19,6,"C.413.2","C.413",1
"50",413,3,"C",4,1,3,5,13,2.5,6,2.5,7,0.357,25.3,21.4,29.2,91,45.5,154,240.5,1,2.5,2,3,8.5,9.5,22,8,"C.413.3","C.413",1
"51",413,4,"C",4,1,3,4,12,2,6,2,6,0.333,25.5,21.5,29.4,84,42,123.2,222,1,2.5,2,2.5,8,8,12,6,"C.413.4","C.413",1
"52",413,5,"C",4,1,3,4,10,2,5.5,2,4.5,0.444,25.3,21.4,29.2,70,35,123.2,185,1,2.5,2,2,7.5,6.5,12,5,"C.413.5","C.413",1
"53",413,6,"C",4,1,3,4,9,2,4,2,5,0.4,25.2,21.3,29,63,31.5,123.2,166.5,0.5,1.5,2,2,6,7,15,6,"C.413.6","C.413",1
"54",413,7,"C",4,1,3,5,12,2,4,3,8,0.375,25.2,21.3,29.1,84,42,154,222,0.5,1.5,1.5,2.5,6,11,30,8,"C.413.7","C.413",1
"55",413,8,"C",4,1,3,4,11,2,5,2,6,0.333,25.4,21.5,29.3,77,38.5,123.2,203.5,1,1.5,1.5,3,7,8,16,8,"C.413.8","C.413",1
"56",413,11,"C",4,1,3,4,11,2,5,2,6,0.333,25.3,21.5,29.3,77,38.5,123.2,203.5,1,1.5,1.5,3,7,8,16,7,"C.413.11","C.413",1
"57",413,12,"C",4,1,3,4,12,2,5,2,7,0.286,25.5,21.5,29.4,84,42,123.2,222,1.5,2,2,1.5,7,9,28,9,"C.413.12","C.413",1
"58",413,13,"C",4,1,3,3,9,2,4,1,5,0.2,25.5,21.5,29.4,63,31.5,92.4,166.5,1,1.5,2,1.5,6,6,12,5,"C.413.13","C.413",1
"59",413,15,"C",4,1,3,4,10,2.5,6,1.5,4,0.375,25.4,21.4,29.2,70,35,123.2,185,1.5,3,1.5,2.5,8.5,5.5,10,4,"C.413.15","C.413",1
"60",413,17,"C",4,1,3,5,13,2,6,3,7,0.429,25.3,21.4,29.2,91,45.5,154,240.5,1.5,3,1.5,2,8,10,20,5,"C.413.17","C.413",1
"61",413,18,"C",4,1,3,4,11,2,4,2,7,0.286,25.4,21.5,29.3,77,38.5,123.2,203.5,1,1.5,2,1.5,6,9,22,7,"C.413.18","C.413",1
"62",413,19,"C",4,1,3,4,10,2,5,2,5,0.4,25.3,21.4,29.2,70,35,123.2,185,1.5,1.5,1.5,2.5,7,7,21,7,"C.413.19","C.413",1
