Tmean,pattern,Tvar,population,LCI_Ro,HCI_Ro,mean_Ro,se_Ro,LCI_rm,HCI_rm,mean_rm,se_rm
22,mild,0,field,50.27659574,58.95744681,55.28153879,0.253951952,0.21409794,0.229708983,0.221494136,0.000472449
22,mild,5,field,56.38,66.34,61.90585859,0.318678892,0.211859946,0.230891254,0.220644461,0.000576736
22,large,9,field,52.84615385,60.25,57.06080031,0.220597449,0.190645944,0.202277472,0.196291929,0.000378127
22,large,13,field,7.745098039,20.92156863,16.27490592,0.457690141,0.149988639,0.188689182,0.175482455,0.001246183
22,mild,0,lab,27.98245614,39,33.93390041,0.331196513,0.223723336,0.244193017,0.23358732,0.00064963
22,mild,5,lab,24.16071429,33.71428571,29.14303752,0.321676491,0.196414299,0.222536892,0.21005389,0.000772948
22,large,9,lab,20.76785714,29.60714286,25.02290765,0.282135914,0.185208511,0.208588306,0.197283852,0.000722596
22,large,13,lab,2.732142857,5.821428571,4.360569986,0.097973018,0.082944009,0.138476946,0.115408638,0.001764246
28,high_mean,0,field,36,44.2244898,40.43661101,0.25179563,0.248902086,0.26563669,0.257397818,0.000573301
28,high_mean,5,field,41.94,49.68,46.34161616,0.24279104,0.229447265,0.24217052,0.235927765,0.00039473
28,high_mean,0,lab,8.964285714,15.55357143,11.76334776,0.19566364,0.186164297,0.229894678,0.210100444,0.001330508
28,high_mean,5,lab,17.68518519,22.7962963,20.23307146,0.188550435,0.227063539,0.248007589,0.236914544,0.000674747
30,high_mean,0,field,11.22,15.92,13.6569697,0.145249056,0.186658562,0.215632268,0.20210254,0.000878614
30,high_mean,5,field,24.06122449,29.51020408,26.89589775,0.162494789,0.228841956,0.248272822,0.239261257,0.000581505
30,high_mean,0,lab,7.161764706,10.39705882,8.701128936,0.094067867,0.173034538,0.20383592,0.188706876,0.00096879
30,high_mean,5,lab,10.97260274,13.90410959,12.31838937,0.099180679,0.191433146,0.213787163,0.203315073,0.000649073
32,high_mean,0,field,0.2,0.746666667,0.486060606,0.016306095,-0.116065234,-0.022258013,-0.060342086,0.002874844
32,high_mean,5,field,1.012820513,2.128205128,1.504144004,0.035403211,0.001064956,0.062221493,0.030608193,0.001874246
32,high_mean,0,lab,0.068493151,0.506849315,0.249066002,0.013836817,-0.272585451,-0.063173459,-0.148391517,0.006494222
32,high_mean,5,lab,0.02739726,0.246575342,0.120105161,0.006611009,-0.354649684,-0.123547772,-0.212231908,0.006106936
,,,,,,,,,,,
