NTmin,Longevity,Fecundtiy,Fecundity rate
13,6,13,2.2
13,5.5,6,1.1
13,7,8,1.1
13,7.5,8,1.1
13,5.5,4,0.7
13,1.5,0,
13,9.5,10,1.1
13,7.5,5,0.7
13,12.5,7,0.6
13,1,0,
13,6,7,1.2
13,8,10,1.3
13,7,5,0.7
13,9,9,1
13,8,7,0.9
16,10.5,13,1.2
16,4,4,1
16,6,7,1.2
16,3,2,0.7
16,1,0,
16,6,7,1.2
16,6.5,10,1.5
16,9,18,2
16,6,4,0.7
16,10.5,9,0.9
16,10.5,9,0.9
16,6.5,6,0.9
16,10,5,0.5
19,8.5,10,1.2
19,4,2,0.5
19,4,2,0.5
19,6,6,1
19,4.5,2,0.4
19,10.5,10,1
19,10.5,8,0.8
19,3.5,5,1.4
19,10.5,10,1
19,10.5,8,0.8
19,7,8,1.1
19,5,4,0.8
19,5,11,2.2
19,2,2,1
19,4.5,2,0.4
19,8,8,1
21,3.5,3,0.9
21,2,1,0.5
21,6,6,1
21,2.5,2,0.8
21,4,4,1
21,7.5,11,1.5
21,3.5,4,1.1
21,3.5,5,1.4
21,4,5,1.3
21,0.5,0,
21,0.5,0,
21,1.5,0,
21,1.5,0,
21,4,5,1.3
21,8,11,1.4
21,3,1,0.3
23,3.5,3,0.9
23,0.5,0,
23,3,4,1.3
23,4,8,2
23,0.5,0,
23,1,0,
23,1.5,1,0.7
23,1.5,0,
23,3.5,6,1.7
23,2.5,2,0.8
23,7.5,10,1.3
23,1.5,0,
23,6,6,1
23,5.5,5,0.9
25,6,8,1.3
25,2.5,2,0.8
25,5,5,1
25,3.5,1,0.3
25,3.5,4,1.1
25,4.5,5,1.1
25,1.5,2,1.3
25,3.5,2,0.6
25,1.5,2,1.3
25,4.5,2,0.4
25,3.5,2,0.6
