NTmin,day,L(x),M(x)
25,0,1,
25,1,1,
25,2,0.933333333,
25,3,0.866666667,
25,4,0.866666667,
25,5,0.766666667,
25,6,0.666666667,
25,7,0.6,0
25,8,0.466666667,0.666666667
25,9,0.366666667,0.666666667
25,10,0.3,1.111111111
25,11,0.3,1.111111111
25,12,0.2,0.833333333
25,13,0.066666667,0
25,14,0,
25,15,0,
23,0,1,
23,1,1,
23,2,0.935483871,
23,3,0.870967742,
23,4,0.838709677,
23,5,0.709677419,
23,6,0.580645161,
23,7,0.548387097,0.666666667
23,8,0.451612903,1
23,9,0.387096774,0.583333333
23,10,0.322580645,1.1
23,11,0.161290323,1.8
23,12,0.096774194,1.666666667
23,13,0.096774194,1
23,14,0.096774194,0.5
23,15,0.032258065,0
23,16,0,
21,0,1,
21,1,1,
21,2,1,
21,3,1,
21,4,0.962962963,
21,5,0.888888889,
21,6,0.777777778,
21,7,0.666666667,
21,8,0.592592593,
21,9,0.592592593,0.142857143
21,10,0.555555556,0.8
21,11,0.481481481,0.615384615
21,12,0.37037037,1.7
21,13,0.296296296,1.25
21,14,0.185185185,1.6
21,15,0.111111111,1
21,16,0.074074074,1.5
21,17,1,
19,0,1,
19,1,1,
19,2,1,
19,3,1,
19,4,0.88,
19,5,0.84,
19,6,0.84,
19,7,0.76,
19,8,0.68,
19,9,0.68,0
19,10,0.68,0.444444444
19,11,0.6,1.090909091
19,12,0.6,1
19,13,0.56,0.785714286
19,14,0.48,1.5
19,15,0.44,1.363636364
19,16,0.4,1
19,17,0.32,1
19,18,0.16,0.75
19,19,0.16,0.5
19,20,0.16,0.25
19,21,0.12,0
19,22,0.04,
16,0,1,
16,1,1,
16,2,1,
16,3,1,
16,4,0.92,
16,5,0.84,
16,6,0.72,
16,7,0.68,
16,8,0.64,
16,9,0.56,0
16,10,0.52,0
16,11,0.52,0.538461538
16,12,0.44,1
16,13,0.44,0.727272727
16,14,0.4,1.8
16,15,0.36,1.555555556
16,16,0.36,1.555555556
16,17,0.2,1.8
16,18,0.16,1.25
16,19,0.12,0.666666667
16,20,0.12,1.666666667
16,21,0.12,0.333333333
16,22,0,
16,23,,
13,0,1,
13,1,1,
13,2,1,
13,3,0.9,
13,4,0.9,
13,5,0.85,
13,6,0.85,
13,7,0.85,
13,8,0.85,
13,9,0.8,
13,10,0.75,0
13,11,0.75,0
13,12,0.7,0.166666667
13,13,0.7,0.714285714
13,14,0.7,1.285714286
13,15,0.65,1.538461538
13,16,0.65,1
13,17,0.55,1.636363636
13,18,0.35,1.285714286
13,19,0.25,1.4
13,20,0.15,0.666666667
13,21,0.05,0
13,22,0.05,0
13,23,0.05,
