NTmin,Days,Status
25,5,0
25,6,1
25,1,0
25,2,0
25,7,0
25,8,1
25,6,1
25,2,0
25,7,0
25,8,1
25,1,0
25,4,0
25,5,0
25,8,1
25,9,0
25,8,1
25,4,0
25,6,1
25,7,1
25,6,0
25,9,0
25,7,0
25,8,0
25,7,1
25,4,0
25,7,1
25,6,0
25,8,1
25,7,0
25,5,0
23,5,0
23,8,1
23,7,1
23,6,1
23,6,1
23,7,0
23,8,1
23,8,1
23,8,1
23,8,1
23,4,0
23,7,1
23,6,1
23,7,1
23,8,1
23,5,0
23,1,1
23,7,0
23,7,0
23,5,1
23,3,0
23,6,0
23,4,0
23,4,0
23,4,0
23,5,0
23,7,0
23,2,0
23,1,0
23,2,0
23,8,0
21,9,1
21,6,0
21,9,1
21,10,1
21,5,0
21,10,1
21,6,0
21,4,0
21,8,1
21,8,1
21,8,1
21,10,1
21,9,1
21,7,0
21,6,0
21,3,0
21,10,1
21,8,1
21,7,0
21,5,0
21,9,1
21,4,0
21,5,0
21,10,1
21,7,1
21,8,1
21,7,1
19,3,0
19,4,0
19,3,0
19,8,1
19,7,0
19,6,0
19,11,1
19,9,1
19,10,0
19,11,1
19,6,0
19,12,1
19,10,1
19,9,1
19,8,1
19,11,1
19,10,1
19,9,1
19,8,1
19,9,1
19,8,1
19,3,0
19,10,1
19,8,1
19,7,0
16,5,0
16,10,1
16,9,1
16,8,1
16,3,0
16,8,0
16,5,0
16,9,0
16,7,0
16,8,1
16,10,1
16,4,0
16,10,1
16,5,0
16,10,1
16,8,1
16,4,0
16,10,1
16,3,0
16,10,1
16,10,1
16,9,1
16,8,1
16,8,0
16,6,0
13,10,1
13,4,0
13,11,1
13,9,0
13,10,1
13,10,1
13,8,0
13,10,1
13,12,1
13,10,1
13,12,1
13,10,1
13,10,1
13,10,1
13,9,1
13,10,1
13,10,1
13,10,1
13,2,0
13,2,0
