NTmin1,1st_instar,NTmin2,2nd_instar,NTmin3,3rd_instar,NTmin4,4th_instar,NTminN,Nymph
13,2,13,2,13,3.5,13,3,13,10.5
13,2.5,13,3.5,13,2.5,13,3.5,13,12
13,2.5,13,4,13,2.5,13,2.5,13,11
13,3,13,2.5,13,1.5,13,3,13,9.5
13,3.5,13,2,13,2.5,13,3,13,10
13,3,13,2.5,13,4,13,5,13,13.5
13,3,13,2,13,2.5,13,2.5,13,10
13,2.5,13,2,13,3,13,4,13,12.5
13,2.5,13,2.5,13,4.5,13,3.5,13,10
13,2.5,13,3,13,2,13,4,13,9.5
13,2.5,13,1,13,2.5,13,3,13,9
13,1,13,2,13,1.5,13,2.5,13,7.5
13,1.5,13,2.5,13,2,13,3,13,9
13,1,13,2,13,1.5,13,3.5,13,10
13,1.5,13,1.5,13,1.5,13,4,13,10.5
13,2.5,13,2.5,16,3,16,3,16,10.5
13,2.5,13,1.5,16,2,16,3,16,9.5
13,3.5,16,1.5,16,2.5,16,2.5,16,8.5
16,2,16,2.5,16,2.5,16,2.5,16,9
16,2,16,2.5,16,3,16,2.5,16,9.5
16,2,16,2,16,2.5,16,3,16,11.5
16,1.5,16,1.5,16,3.5,16,3,16,10
16,2.5,16,1.5,16,1.5,16,2.5,16,9
16,3,16,1.5,16,3,16,3,16,10
16,2,16,2,16,2.5,16,3.5,16,10.5
16,2.5,16,2,16,2,16,3,16,10.5
16,2,16,3,16,3,16,3.5,16,10
16,1,16,2.5,16,2.5,16,2.5,16,9.5
16,2.5,16,1.5,16,3,19,3,19,8.5
16,2.5,16,2,16,2,19,4.5,19,11
16,2.5,16,2,16,3,19,2.5,19,9.5
16,2.5,16,1.5,16,2,19,3.5,19,11.5
16,2.5,16,2.5,16,1.5,19,3.5,19,12
16,2.5,16,3,19,2,19,3.5,19,10.5
16,2.5,16,2,19,3,19,3,19,9.5
16,2,16,1,19,2.5,19,3,19,8.5
16,1.5,16,1.5,19,4.5,19,3,19,11.5
16,2.5,16,1.5,19,3,19,3,19,9
16,3,19,2,19,3.5,19,3.5,19,9.5
16,2,19,3,19,2.5,19,2.5,19,8.5
16,2,19,2.5,19,2.5,19,3,19,9.5
19,1.5,19,1.5,19,2,19,3,19,8.5
19,3,19,2.5,19,4,19,3,19,9.5
19,1,19,1.5,19,2,19,3,19,8
19,2,19,2.5,19,2,21,3,21,9
19,2,19,2.5,19,2.5,21,3,21,9.5
19,3.5,19,2.5,19,3,21,3,21,10.5
19,2.5,19,2,19,2,21,2,21,7
19,3.5,19,2,19,1,21,2.5,21,7.5
19,2.5,19,2.5,19,1.5,21,3,21,8.5
19,2,19,1.5,21,2,21,3,21,8.5
19,2,19,2,21,2.5,21,3,21,10
19,1.5,19,2,21,3,21,2.5,21,9.5
19,2,19,1.5,21,2,21,3,21,9.5
19,2.5,19,1.5,21,1.5,21,3,21,8.5
19,2,19,2,21,2,21,3,21,9.5
19,1.5,19,1,21,2,21,3.5,21,10.5
19,2,21,2,21,2,21,2.5,21,8
19,2,21,1.5,21,2.5,21,2,21,8.5
19,2.5,21,2,21,2.5,21,2,21,7.5
19,2.5,21,2.5,21,3,23,3,23,8
19,2.5,21,1.5,21,2,23,2.5,23,7.5
19,2.5,21,1.5,21,1,23,1.5,23,7
21,2,21,2.5,21,2.5,23,2,23,6
21,2,21,1.5,21,3.5,23,2.5,23,8.5
21,2,21,2,21,1.5,23,2.5,23,8
21,2,21,2,21,2,23,3,23,8
21,2.5,21,3,21,2,23,3,23,8.5
21,1.5,21,2,23,2,23,2,23,7.5
21,2,21,3.5,23,1.5,23,2,23,6.5
21,2.5,21,2,23,2.5,23,2.5,23,8
21,2,21,1,23,1,23,3,23,8
21,1.5,21,1,23,2.5,23,3,23,8
21,1.5,21,2.5,23,2,23,3,23,8
21,2,21,1.5,23,1.5,25,2,25,6.5
21,2.5,21,1.5,23,1.5,25,3,25,8.5
21,2,21,1,23,2,25,2,25,6.5
21,1.5,21,2,23,1,25,2.5,25,8
21,2.5,21,2.5,23,1.5,25,2,25,8
21,2.5,21,2,23,2,25,2.5,25,8
21,2.5,21,2,23,2,25,2,25,6.5
21,2,23,1.5,23,2,25,2,25,7.5
21,2,23,1.5,23,3.5,25,2,25,7
21,2.5,23,1.5,23,1.5,25,2,25,7
21,2.5,23,1.5,23,2.5,25,3,25,8.5
21,2.5,23,1.5,23,2.5,,,,
21,1.5,23,1.5,25,1.5,,,,
21,1.5,23,2,25,2,,,,
21,2.5,23,2,25,1.5,,,,
21,1.5,23,1.5,25,2,,,,
23,1.5,23,1.5,25,2,,,,
23,1.5,23,1.5,25,1.5,,,,
23,2,23,2.5,25,2,,,,
23,1.5,23,1.5,25,2.5,,,,
23,1.5,23,2,25,2,,,,
23,1.5,23,1.5,25,1.5,,,,
23,2,23,1.5,25,2,,,,
23,2,23,1.5,25,2.5,,,,
23,2,23,1,25,2.5,,,,
23,2,23,1.5,25,2,,,,
23,1.5,23,1.5,25,2.5,,,,
23,2,23,1.5,25,1.5,,,,
23,1.5,23,2,25,2.5,,,,
23,1.5,23,1.5,25,2.5,,,,
23,1.5,23,2.5,25,2.5,,,,
23,1.5,23,1.5,25,2,,,,
23,2,25,2,,,,,,
23,1.5,25,1.5,,,,,,
23,1.5,25,2.5,,,,,,
23,1.5,25,2,,,,,,
23,2,25,1.5,,,,,,
23,1.5,25,1.5,,,,,,
23,2,25,2,,,,,,
23,1.5,25,2,,,,,,
23,2,25,2,,,,,,
23,2,25,2,,,,,,
23,2,25,2.5,,,,,,
25,2,25,2,,,,,,
25,1.5,25,1.5,,,,,,
25,2,25,2,,,,,,
25,1.5,25,1.5,,,,,,
25,1.5,25,2.5,,,,,,
25,1.5,25,1.5,,,,,,
25,2,25,2,,,,,,
25,1.5,25,1.5,,,,,,
25,1.5,25,1,,,,,,
25,1.5,25,1.5,,,,,,
25,2,25,1.5,,,,,,
25,1.5,25,2,,,,,,
25,1.5,25,1.5,,,,,,
25,2,,,,,,,,
25,1.5,,,,,,,,
25,1.5,,,,,,,,
25,1.5,,,,,,,,
25,2,,,,,,,,
25,2,,,,,,,,
25,1.5,,,,,,,,
25,2,,,,,,,,
25,1.5,,,,,,,,
25,1.5,,,,,,,,
25,1.5,,,,,,,,
25,1.5,,,,,,,,
25,2,,,,,,,,
25,1.5,,,,,,,,
13,0.5,13,0.5,13,0.29,13,0.33,13,0.1
13,0.4,13,0.29,13,0.4,13,0.29,13,0.08
13,0.4,13,0.25,13,0.4,13,0.4,13,0.09
13,0.33,13,0.4,13,0.67,13,0.33,13,0.11
13,0.29,13,0.5,13,0.4,13,0.33,13,0.1
13,0.33,13,0.4,13,0.25,13,0.2,13,0.07
13,0.33,13,0.5,13,0.4,13,0.4,13,0.1
13,0.4,13,0.5,13,0.33,13,0.25,13,0.08
13,0.4,13,0.4,13,0.22,13,0.29,13,0.1
13,0.4,13,0.33,13,0.5,13,0.25,13,0.11
13,0.4,13,1,13,0.4,13,0.33,13,0.11
13,1,13,0.5,13,0.67,13,0.4,13,0.13
13,0.67,13,0.4,13,0.5,13,0.33,13,0.11
13,1,13,0.5,13,0.67,13,0.29,13,0.1
13,0.67,13,0.67,13,0.67,13,0.25,13,0.1
13,0.4,13,0.4,16,0.33,16,0.33,16,0.1
13,0.4,13,0.67,16,0.5,16,0.33,16,0.11
13,0.29,16,0.67,16,0.4,16,0.4,16,0.12
16,0.5,16,0.4,16,0.4,16,0.4,16,0.11
16,0.5,16,0.4,16,0.33,16,0.4,16,0.11
16,0.5,16,0.5,16,0.4,16,0.33,16,0.09
16,0.67,16,0.67,16,0.29,16,0.33,16,0.1
16,0.4,16,0.67,16,0.67,16,0.4,16,0.11
16,0.33,16,0.67,16,0.33,16,0.33,16,0.1
16,0.5,16,0.5,16,0.4,16,0.29,16,0.1
16,0.4,16,0.5,16,0.5,16,0.33,16,0.1
16,0.5,16,0.33,16,0.33,16,0.29,16,0.1
16,1,16,0.4,16,0.4,16,0.4,16,0.11
16,0.4,16,0.67,16,0.33,19,0.33,19,0.12
16,0.4,16,0.5,16,0.5,19,0.22,19,0.09
16,0.4,16,0.5,16,0.33,19,0.4,19,0.11
16,0.4,16,0.67,16,0.5,19,0.29,19,0.09
16,0.4,16,0.4,16,0.67,19,0.29,19,0.08
16,0.4,16,0.33,19,0.5,19,0.29,19,0.1
16,0.4,16,0.5,19,0.33,19,0.33,19,0.11
16,0.5,16,1,19,0.4,19,0.33,19,0.12
16,0.67,16,0.67,19,0.22,19,0.33,19,0.09
16,0.4,16,0.67,19,0.33,19,0.33,19,0.11
16,0.33,19,0.5,19,0.29,19,0.29,19,0.11
16,0.5,19,0.33,19,0.4,19,0.4,19,0.12
16,0.5,19,0.4,19,0.4,19,0.33,19,0.11
19,0.67,19,0.67,19,0.5,19,0.33,19,0.12
19,0.33,19,0.4,19,0.25,19,0.33,19,0.11
19,1,19,0.67,19,0.5,19,0.33,19,0.13
19,0.5,19,0.4,19,0.5,21,0.33,21,0.11
19,0.5,19,0.4,19,0.4,21,0.33,21,0.11
19,0.29,19,0.4,19,0.33,21,0.33,21,0.1
19,0.4,19,0.5,19,0.5,21,0.5,21,0.14
19,0.29,19,0.5,19,1,21,0.4,21,0.13
19,0.4,19,0.4,19,0.67,21,0.33,21,0.12
19,0.5,19,0.67,21,0.5,21,0.33,21,0.12
19,0.5,19,0.5,21,0.4,21,0.33,21,0.1
19,0.67,19,0.5,21,0.33,21,0.4,21,0.11
19,0.5,19,0.67,21,0.5,21,0.33,21,0.11
19,0.4,19,0.67,21,0.67,21,0.33,21,0.12
19,0.5,19,0.5,21,0.5,21,0.33,21,0.11
19,0.67,19,1,21,0.5,21,0.29,21,0.1
19,0.5,21,0.5,21,0.5,21,0.4,21,0.13
19,0.5,21,0.67,21,0.4,21,0.5,21,0.12
19,0.4,21,0.5,21,0.4,21,0.5,21,0.13
19,0.4,21,0.4,21,0.33,23,0.33,23,0.13
19,0.4,21,0.67,21,0.5,23,0.4,23,0.13
19,0.4,21,0.67,21,1,23,0.67,23,0.14
21,0.5,21,0.4,21,0.4,23,0.5,23,0.17
21,0.5,21,0.67,21,0.29,23,0.4,23,0.12
21,0.5,21,0.5,21,0.67,23,0.4,23,0.13
21,0.5,21,0.5,21,0.5,23,0.33,23,0.13
21,0.4,21,0.33,21,0.5,23,0.33,23,0.12
21,0.67,21,0.5,23,0.5,23,0.5,23,0.13
21,0.5,21,0.29,23,0.67,23,0.5,23,0.15
21,0.4,21,0.5,23,0.4,23,0.4,23,0.13
21,0.5,21,1,23,1,23,0.33,23,0.13
21,0.67,21,1,23,0.4,23,0.33,23,0.13
21,0.67,21,0.4,23,0.5,23,0.33,23,0.13
21,0.5,21,0.67,23,0.67,25,0.5,25,0.15
21,0.4,21,0.67,23,0.67,25,0.33,25,0.12
21,0.5,21,1,23,0.5,25,0.5,25,0.15
21,0.67,21,0.5,23,1,25,0.4,25,0.13
21,0.4,21,0.4,23,0.67,25,0.5,25,0.13
21,0.4,21,0.5,23,0.5,25,0.4,25,0.13
21,0.4,21,0.5,23,0.5,25,0.5,25,0.15
21,0.5,23,0.67,23,0.5,25,0.5,25,0.13
21,0.5,23,0.67,23,0.29,25,0.5,25,0.14
21,0.4,23,0.67,23,0.67,25,0.5,25,0.14
21,0.4,23,0.67,23,0.4,25,0.33,25,0.12
21,0.4,23,0.67,23,0.4,,,,
21,0.67,23,0.67,25,0.67,,,,
21,0.67,23,0.5,25,0.5,,,,
21,0.4,23,0.5,25,0.67,,,,
21,0.67,23,0.67,25,0.5,,,,
23,0.67,23,0.67,25,0.5,,,,
23,0.67,23,0.67,25,0.67,,,,
23,0.5,23,0.4,25,0.5,,,,
23,0.67,23,0.67,25,0.4,,,,
23,0.67,23,0.5,25,0.5,,,,
23,0.67,23,0.67,25,0.67,,,,
23,0.5,23,0.67,25,0.5,,,,
23,0.5,23,0.67,25,0.4,,,,
23,0.5,23,1,25,0.4,,,,
23,0.5,23,0.67,25,0.5,,,,
