Temperature record （high temperature）,,,,,Temperature record  （normal temperature）,,,,,Treatments,id,Nymph duration,Longevity,Productivity,Lifeperiod,immediately death,,Treatments,id,Longevity,Productivity,lifespan,immediately death
#,"Time, GMT+08:00","Temp, °C",,,#,"Time, GMT+08:00","Temp, °C",,,NE1,1,9.5,4.5,10,14,0,,AE1,1 ,16.0,38.0,23.0,0.0
1,12-09-06 下午11时00分00秒,29.464,,,1,12-09-07 上午12时00分00秒,19.246,,,NE1,2,7,14,39,21,0,,AE1,2 ,10.0,21.0,17.0,0.0
2,12-09-06 下午11时20分00秒,22.944,,,2,12-09-07 上午12时20分00秒,17.249,,,NE1,3,,,,1.5,1,,AE1,3 ,25.0,64.0,32.0,0.0
3,12-09-06 下午11时40分00秒,21.819,,,3,12-09-07 上午12时40分00秒,16.892,,,NE1,4,8,11,28,19,0,,AE1,4 ,21.0,44.0,28.0,0.0
4,12-09-07 上午12时00分00秒,21.604,,,4,12-09-07 上午01时00分00秒,17.201,,,NE1,5,,,,1.5,1,,AE1,5 ,12.0,21.0,19.0,0.0
5,12-09-07 上午12时20分00秒,20.889,,,5,12-09-07 上午01时20分00秒,15.318,,,NE1,6,8.5,20.5,37,29,0,,AE1,6 ,26.0,45.0,33.0,0.0
6,12-09-07 上午12时40分00秒,20.388,,,6,12-09-07 上午01时40分00秒,15.079,,,NE1,7,7.5,23.5,56,31,0,,AE1,7 ,10.0,21.0,17.0,0.0
7,12-09-07 上午01时00分00秒,20.317,,,7,12-09-07 上午02时00分00秒,15.724,,,NE1,8,,,,5.5,0,,AE1,8 ,1.0,0,8.0,1.0
8,12-09-07 上午01时20分00秒,19.912,,,8,12-09-07 上午02时20分00秒,13.738,,,NE1,9,,,,1,1,,AE1,9 ,33.0,62.0,40.0,0.0
9,12-09-07 上午01时40分00秒,19.793,,,9,12-09-07 上午02时40分00秒,13.954,,,NE1,10,,,,4,0,,AE1,10 ,29.0,49.0,36.0,0.0
10,12-09-07 上午02时00分00秒,19.722,,,10,12-09-07 上午03时00分00秒,13.69,,,NE1,11,7.5,10.5,30,18,0,,AE1,11 ,22.0,44.0,29.0,0.0
11,12-09-07 上午02时20分00秒,19.318,,,11,12-09-07 上午03时20分00秒,12.823,,,NE1,12,,,,2.5,1,,AE1,12 ,27.0,52.0,34.0,0.0
12,12-09-07 上午02时40分00秒,19.294,,,12,12-09-07 上午03时40分00秒,12.823,,,NE1,13,9,7,10,16,0,,AE1,13 ,3.0,0.0,10.0,0.0
13,12-09-07 上午03时00分00秒,19.27,,,13,12-09-07 上午04时00分00秒,12.534,,,NE1,14,,,,11.5,0,,AE1,14 ,13.0,23.0,20.0,0.0
14,12-09-07 上午03时20分00秒,18.985,,,14,12-09-07 上午04时20分00秒,12.896,,,NE1,15,,,,3,0,,AE1,15 ,2.0,0,9.0,1.0
15,12-09-07 上午03时40分00秒,18.961,,,15,12-09-07 上午04时40分00秒,13.786,,,NE1,16,8,20.5,52,28.5,0,,AE1,16 ,2.0,3.0,9.0,1.0
16,12-09-07 上午04时00分00秒,18.985,,,16,12-09-07 上午05时00分00秒,12.992,,,NE1,17,8,28,65,36,0,,AE1,17 ,22.0,31.0,29.0,0.0
17,12-09-07 上午04时20分00秒,19.508,,,17,12-09-07 上午05时20分00秒,14.96,,,NE1,18,7,13,41,20,0,,AE1,18 ,3.0,0,10.0,0.0
18,12-09-07 上午04时40分00秒,19.603,,,18,12-09-07 上午05时40分00秒,14.792,,,NE1,19,8.5,17.5,54,26,0,,AE1,19 ,22.0,42.0,29.0,0.0
19,12-09-07 上午05时00分00秒,19.603,,,19,12-09-07 上午06时00分00秒,14.505,,,NE1,20,,,,0.5,1,,AE1,20 ,5.0,5.0,12.0,0.0
20,12-09-07 上午05时20分00秒,20.341,,,20,12-09-07 上午06时20分00秒,16.677,,,NE1,21,8.5,28.5,61,37,0,,AE1,21 ,31.0,42.0,38.0,0.0
21,12-09-07 上午05时40分00秒,20.65,,,21,12-09-07 上午06时40分00秒,16.32,,,NE1,22,8,18,38,26,0,,AE1,22 ,33.0,35.0,40.0,0.0
22,12-09-07 上午06时00分00秒,20.246,,,22,12-09-07 上午07时00分00秒,16.177,,,NE1,23,,,,3.5,0,,AE1,23 ,4.0,3.0,11.0,0.0
23,12-09-07 上午06时20分00秒,21.342,,,23,12-09-07 上午07时20分00秒,18.461,,,NE1,24,9,4,4,13,0,,AE1,24 ,4.0,0,11.0,0.0
24,12-09-07 上午06时40分00秒,21.604,,,24,12-09-07 上午07时40分00秒,18.105,,,NE1,25,7.5,8.5,23,16,0,,AE1,25 ,26.0,51.0,33.0,0.0
25,12-09-07 上午07时00分00秒,21.843,,,25,12-09-07 上午08时00分00秒,18.081,,,NE1,26,,,,4.5,0,,AE1,26 ,2.0,6.0,9.0,1.0
26,12-09-07 上午07时20分00秒,22.681,,,26,12-09-07 上午08时20分00秒,20.126,,,NE1,27,,,,0.5,1,,AE1,27 ,25.0,44.0,32.0,0.0
27,12-09-07 上午07时40分00秒,22.896,,,27,12-09-07 上午08时40分00秒,20.674,,,NE1,28,,,,9.5,0,,AE1,28 ,16.0,37.0,23.0,0.0
28,12-09-07 上午08时00分00秒,22.609,,,28,12-09-07 上午09时00分00秒,20.674,,,NE1,29,8,21,53,29,0,,AE1,29 ,19.0,40.0,26.0,0.0
29,12-09-07 上午08时20分00秒,24.098,,,29,12-09-07 上午09时20分00秒,22.872,,,NE1,30,8.5,5.5,7,14,0,,AE1,30 ,28.0,56.0,35.0,0.0
30,12-09-07 上午08时40分00秒,24.412,,,30,12-09-07 上午09时40分00秒,22.489,,,NE1,31,,,,4,0,,AE1,31 ,18.0,47.0,25.0,0.0
31,12-09-07 上午09时00分00秒,24.388,,,31,12-09-07 上午10时00分00秒,22.465,,,NE1,32,9.5,1,0,10.5,0,,AE1,32 ,28.0,15.0,35.0,0.0
32,12-09-07 上午09时20分00秒,26.231,,,32,12-09-07 上午10时20分00秒,24.388,,,NE1,33,,,,6.5,0,,AE1,33 ,7.0,18.0,14.0,0.0
33,12-09-07 上午09时40分00秒,26.231,,,35,12-09-07 上午10时40分00秒,24.629,,,NE1,34,,,,6.5,0,,AE1,34 ,12.0,17.0,19.0,0.0
34,12-09-07 上午10时00分00秒,26.378,,,36,12-09-07 上午11时00分00秒,24.677,,,NE1,35,8.5,11.5,29,20,0,,AE1,35 ,19.0,42.0,26.0,0.0
35,12-09-07 上午10时20分00秒,28.941,,,37,12-09-07 上午11时20分00秒,25.841,,,NE1,36,,,,4.5,0,,AE2,1 ,17.0,39.0,24.0,0.0
38,12-09-07 上午10时40分00秒,29.015,,,38,12-09-07 上午11时40分00秒,26.036,,,NE1,37,8.5,10.5,22,19,0,,AE2,2 ,4.0,3.0,11.0,0.0
39,12-09-07 上午11时00分00秒,29.439,,,39,12-09-07 下午12时00分00秒,26.231,,,NE1,38,,,,0.5,1,,AE2,3 ,22.0,35.0,29.0,0.0
40,12-09-07 上午11时20分00秒,31.791,,,40,12-09-07 下午12时20分00秒,27.038,,,NE1,39,7.5,14.5,44,22,0,,AE2,4 ,2.0,0,9.0,1.0
41,12-09-07 上午11时40分00秒,31.919,,,41,12-09-07 下午12时40分00秒,27.063,,,NE1,40,8.5,14,38,22.5,0,,AE2,5 ,3.0,0,10.0,1.0
42,12-09-07 下午12时00分00秒,31.842,,,42,12-09-07 下午01时00分00秒,27.21,,,NE1,41,9,12,34,21,0,,AE2,6 ,1.0,0,8.0,1.0
43,12-09-07 下午12时20分00秒,33.809,,,43,12-09-07 下午01时20分00秒,26.769,,,NE1,42,8.5,26.5,59,35,0,,AE2,7 ,18.0,46.0,25.0,0.0
44,12-09-07 下午12时40分00秒,33.757,,,44,12-09-07 下午01时40分00秒,27.358,,,NE1,43,,,,19.5,0,,AE2,8 ,33.0,73.0,40.0,0.0
45,12-09-07 下午01时00分00秒,33.861,,,45,12-09-07 下午02时00分00秒,27.505,,,NE1,44,,,,2.5,1,,AE2,9 ,24.0,48.0,31.0,0.0
46,12-09-07 下午01时20分00秒,34.624,,,46,12-09-07 下午02时20分00秒,28.766,,,NE1,45,12,16.5,22,28.5,0,,AE2,10 ,21.0,46.0,28.0,0.0
47,12-09-07 下午01时40分00秒,34.413,,,47,12-09-07 下午02时40分00秒,27.974,,,NE1,46,8,25,66,33,0,,AE2,11 ,20.0,45.0,27.0,0.0
48,12-09-07 下午02时00分00秒,34.519,,,48,12-09-07 下午03时00分00秒,28.345,,,NE1,47,8,14.5,44,22.5,0,,AE2,12 ,10.0,7.0,17.0,0.0
49,12-09-07 下午02时20分00秒,34.572,,,49,12-09-07 下午03时20分00秒,28.493,,,NE1,48,8,19,56,27,0,,AE2,13 ,27.0,50.0,34.0,0.0
50,12-09-07 下午02时40分00秒,34.44,,,50,12-09-07 下午03时40分00秒,27.949,,,NE1,49,8,30,67,38,0,,AE2,14 ,11.0,16.0,18.0,0.0
51,12-09-07 下午03时00分00秒,34.572,,,51,12-09-07 下午04时00分00秒,28.593,,,NE1,50,8,3,4,11,0,,AE2,15 ,5.0,6.0,12.0,0.0
52,12-09-07 下午03时20分00秒,33.626,,,52,12-09-07 下午04时20分00秒,27.186,,,NE1,51,8.5,6.5,2,15,0,,AE2,16 ,13.0,23.0,20.0,0.0
53,12-09-07 下午03时40分00秒,33.469,,,53,12-09-07 下午04时40分00秒,26.989,,,NE2,1,8.5,14.5,42,23,0,,AE2,17 ,22.0,62.0,29.0,0.0
54,12-09-07 下午04时00分00秒,33.365,,,54,12-09-07 下午05时00分00秒,27.014,,,NE2,2,10.5,0.5,0,11,0,,AE2,18 ,26.0,34.0,33.0,0.0
55,12-09-07 下午04时20分00秒,32.227,,,55,12-09-07 下午05时20分00秒,26.72,,,NE2,3,7.5,23.5,56,31,0,,AE2,19 ,31.0,46.0,38.0,0.0
56,12-09-07 下午04时40分00秒,31.816,,,56,12-09-07 下午05时40分00秒,27.186,,,NE2,4,,,,4,0,,AE2,20 ,2.0,1.0,9.0,1.0
57,12-09-07 下午05时00分00秒,31.791,,,57,12-09-07 下午06时00分00秒,26.867,,,NE2,5,8.5,5,11,13.5,0,,AE2,21 ,1.0,0,8.0,1.0
58,12-09-07 下午05时20分00秒,30.52,,,58,12-09-07 下午06时20分00秒,26.451,,,NE2,6,9,18,45,27,0,,AE2,22 ,13.0,30.0,20.0,0.0
59,12-09-07 下午05时40分00秒,30.394,,,59,12-09-07 下午06时40分00秒,26.207,,,NE2,7,,,,3.5,1,,AE2,23 ,1.0,0,8.0,1.0
60,12-09-07 下午06时00分00秒,30.217,,,60,12-09-07 下午07时00分00秒,26.402,,,NE2,8,,,,4.5,0,,AE2,24 ,23.0,49.0,30.0,0.0
61,12-09-07 下午06时20分00秒,28.444,,,61,12-09-07 下午07时20分00秒,25.355,,,NE2,9,8,22,56,30,0,,AE2,25 ,22.0,48.0,29.0,0.0
62,12-09-07 下午06时40分00秒,28.245,,,62,12-09-07 下午07时40分00秒,25.162,,,NE2,10,,,,2.5,1,,AE2,26 ,20.0,38.0,27.0,0.0
63,12-09-07 下午07时00分00秒,28.295,,,63,12-09-07 下午08时00分00秒,25.331,,,NE2,11,,,,11,0,,AE2,27 ,21.0,40.0,28.0,0.0
64,12-09-07 下午07时20分00秒,27.063,,,64,12-09-07 下午08时20分00秒,24.436,,,NE2,12,8.5,22.5,44,31,0,,AE2,28 ,18.0,42.0,25.0,0.0
65,12-09-07 下午07时40分00秒,26.769,,,65,12-09-07 下午08时40分00秒,24.05,,,NE2,13,,,,12,0,,AE2,29 ,11.0,22.0,18.0,0.0
66,12-09-07 下午08时00分00秒,26.769,,,66,12-09-07 下午09时00分00秒,24.436,,,NE2,14,,,,2,1,,AE2,30 ,20.0,59.0,27.0,0.0
67,12-09-07 下午08时20分00秒,25.647,,,67,12-09-07 下午09时20分00秒,23.016,,,NE2,15,,,,12.5,0,,AE2,31 ,18.0,23.0,25.0,0.0
68,12-09-07 下午08时40分00秒,25.55,,,68,12-09-07 下午09时40分00秒,22.896,,,NE2,16,,,,2.5,1,,AE2,32 ,19.0,37.0,26.0,0.0
69,12-09-07 下午09时00分00秒,25.38,,,69,12-09-07 下午10时00分00秒,22.705,,,NE2,17,8,11,30,19,0,,AE2,33 ,19.0,34.0,26.0,0.0
