Treatments,id,Nymph duration,Longevity,Productivity,Lifeperiod,immediately death
NE1,1,9.5,4.5,10,14,0
NE1,2,7,14,39,21,0
NE1,3,,,,1.5,1
NE1,4,8,11,28,19,0
NE1,5,,,,1.5,1
NE1,6,8.5,20.5,37,29,0
NE1,7,7.5,23.5,56,31,0
NE1,8,,,,5.5,0
NE1,9,,,,1,1
NE1,10,,,,4,0
NE1,11,7.5,10.5,30,18,0
NE1,12,,,,2.5,1
NE1,13,9,7,10,16,0
NE1,14,,,,11.5,0
NE1,15,,,,3,0
NE1,16,8,20.5,52,28.5,0
NE1,17,8,28,65,36,0
NE1,18,7,13,41,20,0
NE1,19,8.5,17.5,54,26,0
NE1,20,,,,0.5,1
NE1,21,8.5,28.5,61,37,0
NE1,22,8,18,38,26,0
NE1,23,,,,3.5,0
NE1,24,9,4,4,13,0
NE1,25,7.5,8.5,23,16,0
NE1,26,,,,4.5,0
NE1,27,,,,0.5,1
NE1,28,,,,9.5,0
NE1,29,8,21,53,29,0
NE1,30,8.5,5.5,7,14,0
NE1,31,,,,4,0
NE1,32,9.5,1,0,10.5,0
NE1,33,,,,6.5,0
NE1,34,,,,6.5,0
NE1,35,8.5,11.5,29,20,0
NE1,36,,,,4.5,0
NE1,37,8.5,10.5,22,19,0
NE1,38,,,,0.5,1
NE1,39,7.5,14.5,44,22,0
NE1,40,8.5,14,38,22.5,0
NE1,41,9,12,34,21,0
NE1,42,8.5,26.5,59,35,0
NE1,43,,,,19.5,0
NE1,44,,,,2.5,1
NE1,45,12,16.5,22,28.5,0
NE1,46,8,25,66,33,0
NE1,47,8,14.5,44,22.5,0
NE1,48,8,19,56,27,0
NE1,49,8,30,67,38,0
NE1,50,8,3,4,11,0
NE1,51,8.5,6.5,2,15,0
NE2,1,8.5,14.5,42,23,0
NE2,2,10.5,0.5,0,11,0
NE2,3,7.5,23.5,56,31,0
NE2,4,,,,4,0
NE2,5,8.5,5,11,13.5,0
NE2,6,9,18,45,27,0
NE2,7,,,,3.5,1
NE2,8,,,,4.5,0
NE2,9,8,22,56,30,0
NE2,10,,,,2.5,1
NE2,11,,,,11,0
NE2,12,8.5,22.5,44,31,0
NE2,13,,,,12,0
NE2,14,,,,2,1
NE2,15,,,,12.5,0
NE2,16,,,,2.5,1
NE2,17,8,11,30,19,0
NE2,18,8.5,5.5,12,14,0
NE2,19,8,4,8,12,0
NE2,20,,,,0.5,1
NE2,21,8.5,10,26,18.5,0
NE2,22,,,,7,0
NE2,23,,,,1.5,1
NE2,24,11.5,15.5,7,27,0
NE2,25,8.5,1,0,9.5,0
NE2,26,,,,1.5,1
NE2,27,,,,1.5,1
NE2,28,9,7.5,18,16.5,0
NE2,29,,,,3.5,1
NE2,30,8,31,65,39,0
NE2,31,8.5,21.5,19,30,0
NE2,32,7,11,32,18,0
NE2,33,12,3,2,15,0
NE2,34,,,,1,1
NE2,35,11.5,4.5,2,16,0
NE2,36,,,,9.5,0
NE2,37,,,,1.5,1
NE2,38,,,,1,1
NE2,39,9,6.5,15,15.5,0
NE2,40,7.5,20.5,30,28,0
NE2,41,8.5,17.5,32,26,0
NE2,42,10.5,9,18,19.5,0
NE2,43,,,,3,1
NE2,44,9,15,15,24,0
NE2,45,9,17,41,26,0
NE2,46,9,12,18,21,0
NE2,47,13,9,6,22,0
NE2,48,9,13,36,22,0
NE2,49,7.5,26.5,55,34,0
NE2,50,,,,3.5,1
NE3,1,,,,4.5,1
NE3,2,,,,5,0
NE3,3,,,,4.5,1
NE3,4,13,1.5,0,14.5,0
NE3,5,9.5,10.5,12,20,0
NE3,6,7,25,57,32,0
NE3,7,12,12,7,24,0
NE3,8,,,,10,0
NE3,9,10,9,7,19,0
NE3,10,,,,3,1
NE3,11,13.5,6.5,6,20,0
NE3,12,8,15,31,23,0
NE3,13,,,,3.5,1
NE3,14,,,,2.5,1
NE3,15,,,,4.5,1
NE3,16,11.5,7.5,10,19,0
NE3,17,,,,7.5,0
NE3,18,,,,10,0
NE3,19,12.5,1.5,0,14,0
NE3,20,,,,2,1
NE3,21,15,7,0,22,0
NE3,22,,,,12.5,0
NE3,23,,,,2.5,1
NE3,24,,,,1.5,1
NE3,25,,,,5,0
NE3,26,8.5,5.5,8,14,0
NE3,27,,,,0.5,1
NE3,28,,,,2.5,1
NE3,29,,,,2.5,1
NE3,30,,,,18.5,0
NE3,31,12,0.5,0,12.5,0
NE3,32,,,,6.5,0
NE3,33,,,,2,1
NE3,34,11.5,12.5,16,24,0
NE3,35,,,,3,1
NE3,36,,,,5,0
NE3,37,,,,1.5,1
NE3,38,7.5,14,39,21.5,0
NE3,39,7,31,52,38,0
NE3,40,,,,8,0
NE3,41,,,,0.5,1
NE3,42,10,17.5,67,27.5,0
NE3,43,8,31.5,73,39.5,0
NE3,44,9,33.5,62,42.5,0
NE3,45,9,24.5,57,33.5,0
NE3,46,9.5,26,63,35.5,0
NE3,47,8.5,14,62,22.5,0
NE3,48,10,17,12,27,0
NE3,49,15.5,15,36,30.5,0
