"","expt","scenario","d_time","d_temp","r_mag","r_breadth","Tp","Tr","scale","sse","AIC","BIC","deltaAIC","deltaSSE"
"s1","1","1",0.00035247,0,0.1,2.97,0.9,25.2,1.36,0.00134,-689,-676,0,0
"s2","1","2",0.00935168,0.00116448,1,2.18,0.84,25.2,1.36,0.00152,-676,-661,13,0.00018
"s3","1","3",0.00104222,0.36522023,0.63,2.9,0.9,24.96,1.36,0.00149,-678,-663,11,0.00015
"s4","1","4",0,0.00374345,0.07,0.64,0.9,25.2,1.36,0.00118,-702,-692,-13,-0.00016
"s5","1","5",0.01649991,0,0.99,2.15,0.9,25.2,1.36,0.00152,-680,-670,8,0.00018
"s6","1","6",2.199e-05,0.00014863,0,0,0.9,25.2,1.36,0.00156,-680,-673,9,0.00022
"s1.1","2","1",0.48687864,0.07272974,1,2.57,0.9,25.2,1.21,0.00042,-203,-196,0,0
"s2.1","2","2",0.49700873,0.40215509,1,3,0.02,25.2,1.21,0.00045,-199,-192,3,2e-05
"s3.1","2","3",0.43407832,0.01009644,1,2.98,0.9,22.45,1.21,0.00036,-205,-198,-3,-7e-05
"s4.1","2","4",0,0.5,1,3,0.9,25.2,1.21,0.00089,-186,-181,17,0.00046
"s5.1","2","5",0.49989943,0,1,2.58,0.9,25.2,1.21,0.00042,-205,-200,-2,0
"s6.1","2","6",0,0.00020764,0,0,0.9,25.2,1.21,0.00089,-188,-184,15,0.00047
"s1.2","3","1",0,0,1,0,0.9,25.2,1.29,0.00503,-1255,-1239,0,0
"s2.2","3","2",0.49526602,0.49939867,1,3,1,25.2,1.29,0.00505,-1252,-1233,3,2e-05
"s3.2","3","3",0,0,0,3,0.9,25,1.29,0.00503,-1253,-1234,2,0
"s4.2","3","4",0,0,1,2.4,0.9,25.2,1.29,0.00503,-1257,-1244,-2,0
"s5.2","3","5",0,0,1,3,0.9,25.2,1.29,0.00503,-1257,-1244,-2,0
"s6.2","3","6",0,0,0,0,0.9,25.2,1.29,0.00503,-1259,-1249,-4,0
"s1.3","4","1",0.49641076,0.05545348,1,2.68,0.9,25.2,1.62,0.00696,-1012,-997,0,0
"s2.3","4","2",0,0.49637516,1,3,0.23,25.2,1.62,0.00334,-1116,-1098,-104,-0.00362
"s3.3","4","3",0.03189003,5.09e-06,0.75,2.99,0.9,25,1.62,0.00693,-1011,-993,1,-4e-05
"s4.3","4","4",0,0.49607416,0.66,2.99,0.9,25.2,1.62,0.00691,-1015,-1003,-3,-5e-05
"s5.3","4","5",0.19597046,0,1,2.66,0.9,25.2,1.62,0.00696,-1014,-1002,-2,0
"s6.3","4","6",6.26e-06,8.74e-06,0,0,0.9,25.2,1.62,0.00763,-1003,-994,9,0.00066
"s1.4","5","1",0.03086209,0.00428354,0.5,3,0.9,25.2,1.49,0.00571,-3890,-3870,0,0
"s2.4","5","2",0.00381423,0.00223637,1,3,0,25.2,1.49,0.00557,-3900,-3875,-9,-0.00014
"s3.4","5","3",0.39951656,0.00979262,0.99,1.78,0.9,24.69,1.49,0.00571,-3888,-3863,2,0
"s4.4","5","4",0,0.00148899,0.01,2.82,0.9,25.2,1.49,0.0056,-3901,-3885,-11,-0.00011
"s5.4","5","5",0.12609564,0,0.53,2.89,0.9,25.2,1.49,0.00571,-3892,-3876,-2,0
"s6.4","5","6",4e-08,0.00063568,0,0,0.9,25.2,1.49,0.00561,-3903,-3890,-12,-1e-04
"s1.5","6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2.5","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s3.5","6","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s4.5","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s5.5","6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s6.5","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1.6","7","1",0.00077863,0.47012012,0.16,2.7,0.9,25.2,1.13,0.00153,-1809,-1792,0,0
"s2.6","7","2",0.49779882,7e-08,0.16,2.85,0.97,25.2,1.13,0.00153,-1807,-1787,2,0
"s3.6","7","3",0.49751594,0.00188927,0.28,2.62,0.9,19.07,1.13,0.00153,-1807,-1787,2,0
"s4.6","7","4",0,0.49298523,0.19,2.27,0.9,25.2,1.13,0.00153,-1810,-1797,-2,0
"s5.6","7","5",0.0507054,0,0.22,1.9,0.9,25.2,1.13,0.00153,-1811,-1797,-2,0
"s6.6","7","6",7.8e-07,0.00103484,0,0,0.9,25.2,1.13,0.00153,-1812,-1802,-4,0
