"","expt","scenario","d_time","d_temp","r_mag","r_breadth","Tp","Tr","scale","sse","AIC","BIC","deltaAIC","deltaSSE"
"s1","1","1",0.02607885,0.00030313,0.76,0.54,0.9,18.4,1,107.89,271,284,0,0
"s2","1","2",0.05588554,0.49999996,0.13,3,1,18.4,1,79.72,248,262,-24,-28.17
"s3","1","3",0.49999995,0,0.1,3,0.9,20.1,1,74.35,242,256,-30,-33.54
"s4","1","4",0,0.02190827,0.13,3,0.9,18.4,1,79.73,244,254,-28,-28.16
"s5","1","5",0.45326736,0,0.14,3,0.9,18.4,1,79.73,244,254,-28,-28.16
"s6","1","6",9.541e-05,4.68e-06,0,0,0.9,18.4,1,77.56,239,247,-32,-30.33
"s1.1","2","1",0.00011298,0.00223796,0.06,1.56,0.9,18.4,1,81.67,125,132,0,0
"s2.1","2","2",0.00079495,0.0040827,0.04,2.99,0.99,18.4,1,100.74,133,142,8,19.07
"s3.1","2","3",7.137e-05,0.00153785,0.01,0.07,0.9,25,1,82.05,127,136,2,0.39
"s4.1","2","4",0,0.24885899,0.49,1.56,0.9,18.4,1,127.16,136,142,11,45.49
"s5.1","2","5",0.00022843,0,0.82,0.61,0.9,18.4,1,126.63,136,142,11,44.96
"s6.1","2","6",7.137e-05,0.00153786,0,0,0.9,18.4,1,82.05,121,126,-4,0.39
"s1.2","3","1",0.0006606,0.0003021,1,0.82,0.9,18.4,1.1,977.71,779,795,0,0
"s2.2","3","2",8.7e-07,0.12580719,0.43,2.96,1,18.4,1.1,977.71,781,800,2,0
"s3.2","3","3",0.00047744,0.0243915,0.45,2.95,0.9,25,1.1,977.71,781,800,2,0
"s4.2","3","4",0,0.03269475,0.43,2.44,0.9,18.4,1.1,977.71,777,790,-2,0
"s5.2","3","5",0.00066567,0,1,0.82,0.9,18.4,1.1,977.71,777,790,-2,0
"s6.2","3","6",0,0.00066084,0,0,0.9,18.4,1.1,978.13,775,784,-4,0.42
"s1.3","4","1",2.966e-05,0,1,3,0.9,18.4,1.41,446.39,582,596,0,0
"s2.3","4","2",4.137e-05,3e-08,1,3,0.94,18.4,1.41,445.24,583,601,2,-1.15
"s3.3","4","3",0.00231127,0.00537567,0.62,1.66,0.9,24.98,1.41,440.01,582,599,0,-6.38
"s4.3","4","4",0,0.00032854,0,2.99,0.9,18.4,1.41,444.68,579,591,-3,-1.72
"s5.3","4","5",2.967e-05,0,1,3,0.9,18.4,1.41,446.39,580,591,-2,0
"s6.3","4","6",7.39e-06,7.212e-05,0,0,0.9,18.4,1.41,444.53,577,586,-5,-1.86
"s1.4","5","1",0.00382209,3e-08,0.25,3,0.9,18.4,1.31,3497.4,2252,2273,0,0
"s2.4","5","2",0.00314018,0.01170551,0.25,3,0.98,18.4,1.31,3497.05,2254,2279,2,-0.35
"s3.4","5","3",0.00181545,0.00278905,0.13,2.43,0.9,23.34,1.31,3491.53,2254,2278,1,-5.87
"s4.4","5","4",0,0.03154705,0.36,2.54,0.9,18.4,1.31,3499.68,2251,2267,-2,2.28
"s5.4","5","5",0.00382213,0,0.25,3,0.9,18.4,1.31,3497.4,2250,2267,-2,0
"s6.4","5","6",8.42e-06,0.00077469,0,0,0.9,18.4,1.31,3494.76,2248,2260,-4,-2.64
"s1.5","6","1",7.2e-07,0.0052686,0.01,2.45,0.9,18.4,1,2100.92,1069,1085,0,0
"s2.5","6","2",3.687e-05,0.00390764,0.01,2.39,0.81,18.4,1,2108.15,1072,1091,3,7.23
"s3.5","6","3",0.00062026,4.5e-05,0.02,1.23,0.9,11.51,1,2045.31,1065,1085,-3,-55.61
"s4.5","6","4",0,0.43024777,0.02,2.66,0.9,18.4,1,2190.05,1075,1089,7,89.13
"s5.5","6","5",0.00062661,0,0.04,0.24,0.9,18.4,1,2043.36,1061,1074,-8,-57.56
"s6.5","6","6",0.00053748,0,0,0,0.9,18.4,1,2046.02,1059,1069,-9,-54.9
"s1.6","7","1",0.00074209,2.68e-05,0.68,0.15,0.9,18.4,1.35,1462.74,987,1004,0,0
"s2.6","7","2",0.00017921,1.7e-07,0,0.35,0.85,18.4,1.35,1467.77,990,1010,3,5.03
"s3.6","7","3",0.00072972,0.00010152,0.2,0.66,0.9,11.75,1.35,1462.77,989,1009,2,0.02
"s4.6","7","4",0,0.00475151,1,0.14,0.9,18.4,1.35,1481.89,988,1001,1,19.15
"s5.6","7","5",0.00074706,0,0.99,0.12,0.9,18.4,1.35,1462.73,985,998,-2,-0.01
"s6.6","7","6",0.00018862,0.00030837,0,0,0.9,18.4,1.35,1466.57,984,993,-3,3.82
