"","treatment","metric","value","expt","population"
"1","13","fecundity",13,1,NA
"2","13","fecundity",6,1,NA
"3","13","fecundity",8,1,NA
"4","13","fecundity",8,1,NA
"5","13","fecundity",4,1,NA
"6","13","fecundity",0,1,NA
"7","13","fecundity",10,1,NA
"8","13","fecundity",5,1,NA
"9","13","fecundity",7,1,NA
"10","13","fecundity",0,1,NA
"11","13","fecundity",7,1,NA
"12","13","fecundity",10,1,NA
"13","13","fecundity",5,1,NA
"14","13","fecundity",9,1,NA
"15","13","fecundity",7,1,NA
"16","16","fecundity",13,1,NA
"17","16","fecundity",4,1,NA
"18","16","fecundity",7,1,NA
"19","16","fecundity",2,1,NA
"20","16","fecundity",0,1,NA
"21","16","fecundity",7,1,NA
"22","16","fecundity",10,1,NA
"23","16","fecundity",18,1,NA
"24","16","fecundity",4,1,NA
"25","16","fecundity",9,1,NA
"26","16","fecundity",9,1,NA
"27","16","fecundity",6,1,NA
"28","16","fecundity",5,1,NA
"29","19","fecundity",10,1,NA
"30","19","fecundity",2,1,NA
"31","19","fecundity",2,1,NA
"32","19","fecundity",6,1,NA
"33","19","fecundity",2,1,NA
"34","19","fecundity",10,1,NA
"35","19","fecundity",8,1,NA
"36","19","fecundity",5,1,NA
"37","19","fecundity",10,1,NA
"38","19","fecundity",8,1,NA
"39","19","fecundity",8,1,NA
"40","19","fecundity",4,1,NA
"41","19","fecundity",11,1,NA
"42","19","fecundity",2,1,NA
"43","19","fecundity",2,1,NA
"44","19","fecundity",8,1,NA
"45","21","fecundity",3,1,NA
"46","21","fecundity",1,1,NA
"47","21","fecundity",6,1,NA
"48","21","fecundity",2,1,NA
"49","21","fecundity",4,1,NA
"50","21","fecundity",11,1,NA
"51","21","fecundity",4,1,NA
"52","21","fecundity",5,1,NA
"53","21","fecundity",5,1,NA
"54","21","fecundity",0,1,NA
"55","21","fecundity",0,1,NA
"56","21","fecundity",0,1,NA
"57","21","fecundity",0,1,NA
"58","21","fecundity",5,1,NA
"59","21","fecundity",11,1,NA
"60","21","fecundity",1,1,NA
"61","23","fecundity",3,1,NA
"62","23","fecundity",0,1,NA
"63","23","fecundity",4,1,NA
"64","23","fecundity",8,1,NA
"65","23","fecundity",0,1,NA
"66","23","fecundity",0,1,NA
"67","23","fecundity",1,1,NA
"68","23","fecundity",0,1,NA
"69","23","fecundity",6,1,NA
"70","23","fecundity",2,1,NA
"71","23","fecundity",10,1,NA
"72","23","fecundity",0,1,NA
"73","23","fecundity",6,1,NA
"74","23","fecundity",5,1,NA
"75","25","fecundity",8,1,NA
"76","25","fecundity",2,1,NA
"77","25","fecundity",5,1,NA
